LEXICO LOG - file: algoritmo1.rs
Generated: 2025-11-10T18:10:51.324111
User: PaulPer37
============================================================

TOKENS
------------------------------------------------------------
LINE   63 | TYPE: PLUS         | POS:   1309 | VALUE: '+'
LINE   63 | TYPE: INTEGER      | POS:   1311 | VALUE: 2
LINE   63 | TYPE: MULTIPLY     | POS:   1313 | VALUE: '*'
LINE   63 | TYPE: INTEGER      | POS:   1315 | VALUE: 3
LINE   63 | TYPE: MINUS        | POS:   1317 | VALUE: '-'
LINE   63 | TYPE: INTEGER      | POS:   1319 | VALUE: 1
LINE   63 | TYPE: MODULO       | POS:   1321 | VALUE: '%'
LINE   63 | TYPE: INTEGER      | POS:   1323 | VALUE: 2
LINE   63 | TYPE: SEMICOLON    | POS:   1324 | VALUE: ';'
LINE   64 | TYPE: RBRACE       | POS:   1326 | VALUE: '}'

------------------------------------------------------------

ERRORS / LEXER OUTPUT
------------------------------------------------------------
No errors reported by lexer (t_error did not print anything).
